author,user_profile_link,text,timestamp,likes,date,time
Houcine Befree,https://web.facebook.com/houcine.befree.7?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzA5NDk5NjQ0OTU3ODgx&__tn__=R-R,هذا إنذار للغافلين عن الله لكي يتوبوا ويعودوا إلى حضنه عز وجل،.,Saturday 9 September 2023 at 00:03,13,09 September 2023,00:03
Mouha Abdellah,https://web.facebook.com/mouha.abdellah.5?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNzkyMDg4MjE5MzMxNDMw&__tn__=R-R,نتمنى أن يكون هدا الإنذار الا لاهي نقطة رجوع إلى الدين والمبادئ السمحة,Friday 8 September 2023 at 23:47,111,08 September 2023,23:47
فهد صبحي الساجر,https://web.facebook.com/profile.php?id=100081827641221&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTE4MDE2MjQwMjY5MTk2Nw%3D%3D&__tn__=R-R,ربي يستر اخواتنا في المغرب اخوكم من سوريا,Friday 8 September 2023 at 23:50,197,08 September 2023,23:50
Rachid Mossa,https://web.facebook.com/profile.php?id=100008756772033&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjUyMDA0NTI1MTQ5NTQyMw%3D%3D&__tn__=R-R,مدينة سلا كلها خارجة على برا,Friday 8 September 2023 at 23:57,16,08 September 2023,23:57
محمد النضال,https://web.facebook.com/profile.php?id=100043822757194&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjEyNzMzMjgwOTQzMzAx&__tn__=R-R,ابتعدو عن الابنية هناك هزات ارتدادية,Friday 8 September 2023 at 23:49,15,08 September 2023,23:49
صلاح بن علي,https://web.facebook.com/salahbenali19?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTA3NjE4NzkwMzM3NTkwNg%3D%3D&__tn__=R-R,إنذار لنا اللهم تب علينا ولا تؤاخذ نا,Friday 8 September 2023 at 23:37,9,08 September 2023,23:37
بندر العنزي,https://web.facebook.com/profile.php?id=100021668826046&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODU0NzU2MTgzMDQ1NTYz&__tn__=R-R,كم درجاء,Friday 8 September 2023 at 23:42,3,08 September 2023,23:42
Abdallah Allouch,https://web.facebook.com/abdallah.allouch.31?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzIxMTk3MzUwNDM4ODE0&__tn__=R-R,هدا صحيح حتى فالقنيطرة والنواحي,Friday 8 September 2023 at 23:56,5,08 September 2023,23:56
محمد ابويوسف,https://web.facebook.com/profile.php?id=100012970415924&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjE1MjMxNTQ0ODY3Mjk3&__tn__=R-R,يارب سلم سلم يارب لاتهلكنا بذنوبنا وأنت أرحم الراحمين,Friday 8 September 2023 at 23:53,6,08 September 2023,23:53
Najib Khadiwi,https://web.facebook.com/najib.khadiwi?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODgwNTUyODc2NzYyNzIx&__tn__=R-R,حتى هنا في القنيطرة دراب,Friday 8 September 2023 at 23:41,2,08 September 2023,23:41
Germany Daw,https://web.facebook.com/germany.daw?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzM0Mzc0ODY4OTkwMzQ1&__tn__=R-R,راه لابد تعاود باش ترجع,Friday 8 September 2023 at 23:54,4,08 September 2023,23:54
Dina Bobot,https://web.facebook.com/salama.lramid.7?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTIyNjAwMzQ4MTQwMTk3OQ%3D%3D&__tn__=R-R,جاوبوني,Friday 8 September 2023 at 23:38,2,08 September 2023,23:38
الكف الابيض,https://web.facebook.com/aaaaaaaa733788953?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjgyMTg0NTA3MTE5ODg0OA%3D%3D&__tn__=R-R,بدون تجريح وفلسفة. كل واحد ينطق خيرًا او يصمت. واكثروا من الدعاء ربي يسلمهم ويحميهم يارب,Friday 8 September 2023 at 23:47,52,08 September 2023,23:47
Omar Sayf Din,https://web.facebook.com/omar.sayfdin?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzUxMzQ3NjYzODgxNjA2&__tn__=R-R,القصر الكبير 6.8 رشطر,Saturday 9 September 2023 at 00:00,2,09 September 2023,00:00
Nąjąt Bķf,https://web.facebook.com/profile.php?id=100087207745275&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNzkwOTk4ODc2MDQyNjU1&__tn__=R-R,ياربي السلامة في ياربي تلطف بنا,Friday 8 September 2023 at 23:42,5,08 September 2023,23:42
Fatima Abdellaoui,https://web.facebook.com/profile.php?id=100008282054917&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjYzNzkzMzY5ODY3MzMx&__tn__=R-R,ربي تلطف,Friday 8 September 2023 at 23:44,2,08 September 2023,23:44
محمد محمود,https://web.facebook.com/profile.php?id=100083817346307&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNDMwODA5MzE4OTQxNjE1Mg%3D%3D&__tn__=R-R,يارب السلامة ياعفو اعف عنا فإنك عليناقادر,Friday 8 September 2023 at 23:47,6,08 September 2023,23:47
Lyes Mob,https://web.facebook.com/lyes.mob.790?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzU1Mjk4MjY5MTYzMzE2Mg%3D%3D&__tn__=R-R,ربي يجيب الخير انشاء الله,Friday 8 September 2023 at 23:52,4,08 September 2023,23:52
توحه الورفلي,https://web.facebook.com/profile.php?id=100055937206581&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjMyMjE0NTY5MTI0NzY5OA%3D%3D&__tn__=R-R,فين هناا؟؟؟,Friday 8 September 2023 at 23:42,0,08 September 2023,23:42
Mohamed Chikhane,https://web.facebook.com/mohamed.chikhane.73?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzI0ODcwNTc2NjAyNzcz&__tn__=R-R,لا إله إلا الله الله أكبر و لا حول و لا قوة إلا بالله,Friday 8 September 2023 at 23:50,4,08 September 2023,23:50
Mohamed Kamal,https://web.facebook.com/profile.php?id=100011190090040&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjc5MDM4MTQ1MDcyMjMx&__tn__=R-R,نسأل الله اسلامة للجميع,Friday 8 September 2023 at 23:58,2,08 September 2023,23:58
Bilal Khayati,https://web.facebook.com/bilal.khayati.5?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTY3NjQ1MTc5NzAxNzk0&__tn__=R-R,فين شمن مدينة هذه الله إجزكم بالخير,Friday 8 September 2023 at 23:52,4,08 September 2023,23:52
Otmane Houasse,https://web.facebook.com/otmane.houasse.14?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjExMjY5NjIxMTcxNTA5&__tn__=R-R,الله وأكبر الله وأكبر لاحولا ولا قوة إلا بي الله العالي العضيم ياربي يستر,Friday 8 September 2023 at 23:47,8,08 September 2023,23:47
Soufiane Draxler,https://web.facebook.com/profile.php?id=100006001578471&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjQzMjA3MzExMzU4NjgzOQ%3D%3D&__tn__=R-R,تازة ايضا,Friday 8 September 2023 at 23:38,6,08 September 2023,23:38
محمد عواج,https://web.facebook.com/profile.php?id=100084989120782&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzAyMjYwMTE1NzgzMzY4&__tn__=R-R,لاتحملنا ما لا طاقة لنا به,Friday 8 September 2023 at 23:55,4,08 September 2023,23:55
Abdellah Bounoiar,https://web.facebook.com/abdellah.bounoiar?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjQ4NzAzMjQwNjAxMTM3&__tn__=R-R,خير إن شاءالله,Friday 8 September 2023 at 23:56,3,08 September 2023,23:56
Karima Jalal,https://web.facebook.com/krima.jalal?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzA1MzcxNjgyMTgwMjc4&__tn__=R-R,لطفك يارب,Friday 8 September 2023 at 23:58,2,08 September 2023,23:58
Samir Mohamadi,https://web.facebook.com/samir.rooman?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzYwOTQyNTQyMjY2Njc4Mw%3D%3D&__tn__=R-R,يارب السلامة انشاء الله,Friday 8 September 2023 at 23:48,4,08 September 2023,23:48
Azize Zarouq,https://web.facebook.com/azize.zarouq?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjU2NjI4NjQ3MDE1NTE5MA%3D%3D&__tn__=R-R,ياربي السلامة من عندك يارب,Friday 8 September 2023 at 23:52,3,08 September 2023,23:52
Rafik Chabi,https://web.facebook.com/profile.php?id=100073995847582&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODQwNjg0NTAwNzc3NTk0&__tn__=R-R,سلامات انشاء الله,Friday 8 September 2023 at 23:46,0,08 September 2023,23:46
Parciel Loxana,https://web.facebook.com/parciel.loxana?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjQ2ODIwMjEwNTY2ODQw&__tn__=R-R,لا حول ولا قوة الا بالله,Friday 8 September 2023 at 23:53,3,08 September 2023,23:53
